timestamp,source_ip,endpoint,status_code,method,user_agent,response_time,bytes_sent,source,service,pattern
2026-03-23T09:32:51.243939+00:00,10.39.13.209,/eci/candidate/list,200,GET,Android WebView,57.18174391822451,1430,election-commission-api,election-commission-api,normal
2026-03-23T10:52:17.448979+00:00,10.4.143.69,/aadhaar/verify,403,POST,CitizenServiceApp/3.1,166.43151820707646,1682,aadhaar-verify-service,aadhaar-verify-service,normal
2026-03-23T20:13:17.470406+00:00,10.232.183.197,/eci/candidate/list,200,GET,GovPortalClient/2.0,106.15136512019369,3422,election-commission-api,election-commission-api,normal
2026-03-25T07:27:44.669425+00:00,203.0.130.160,/aadhaar/auth/login,200,POST,CredentialSpray/5.1,377.30839523459434,1394,aadhaar-verify-service,aadhaar-verify-service,credential_stuffing
2026-03-24T07:34:43.387769+00:00,10.66.35.65,/municipal/property,200,GET,iOS Safari,82.00052714485938,11368,municipal-portal,municipal-portal,normal
2026-03-23T11:30:14.757802+00:00,10.128.110.6,/eci/candidate/list,200,GET,iOS Safari,71.00864178589305,4189,election-commission-api,election-commission-api,normal
2026-03-25T03:29:35.569051+00:00,203.0.113.71,/auth/login,401,POST,CredentialSpray/9.2,209.86854483694546,1649,voter-auth-api,voter-auth-api,brute_force
2026-03-25T05:29:20.442033+00:00,45.33.236.235,/rti/search?q=admin' OR '1'='1,500,GET,SQLProbe/2.0,1193.76393825177,10491,rti-portal,rti-portal,sql_injection
2026-03-23T19:49:08.341551+00:00,10.241.167.28,/auth/otp,200,GET,CitizenServiceApp/3.1,55.894491691523676,7749,voter-auth-api,voter-auth-api,normal
2026-03-24T08:24:41.305109+00:00,10.231.149.45,/rti/filing,200,POST,Android WebView,88.89548365219824,4962,rti-portal,rti-portal,normal
2026-03-25T06:48:18.774014+00:00,172.16.88.23,/eci/export?chunk=268,200,GET,BulkDownloader/6.5,262.22880998344317,19681354,election-commission-api,election-commission-api,data_exfiltration
2026-03-23T22:47:09.684232+00:00,10.74.128.200,/health,200,GET,iOS Safari,80.77994353178255,8193,voter-auth-api,voter-auth-api,normal
2026-03-24T07:51:40.790714+00:00,10.180.44.195,/auth/login,200,POST,Mozilla/5.0,50.45578155188662,7757,voter-auth-api,voter-auth-api,normal
2026-03-23T19:23:40.068881+00:00,10.57.98.101,/aadhaar/verify,404,POST,iOS Safari,89.58864678149801,4505,aadhaar-verify-service,aadhaar-verify-service,normal
2026-03-25T04:25:04.012393+00:00,198.51.32.82,/municipal/dashboard,429,GET,FloodBot/4.7,2811.55769801367,315,municipal-portal,municipal-portal,ddos
2026-03-24T08:17:16.787588+00:00,10.5.88.192,/rti/status,200,GET,Android WebView,94.30049488327425,4194,rti-portal,rti-portal,normal
2026-03-25T07:13:49.538558+00:00,172.16.88.23,/eci/export?chunk=584,200,GET,BulkDownloader/6.5,644.624080051003,7895963,election-commission-api,election-commission-api,data_exfiltration
2026-03-25T06:49:05.975160+00:00,172.16.88.23,/eci/export?chunk=365,200,GET,BulkDownloader/6.5,299.3040862328309,18637294,election-commission-api,election-commission-api,data_exfiltration
2026-03-25T03:28:16.007302+00:00,203.0.113.71,/auth/login,401,POST,CredentialSpray/9.2,206.54850035690666,864,voter-auth-api,voter-auth-api,brute_force
2026-03-25T03:29:27.649689+00:00,203.0.113.71,/auth/login,403,POST,CredentialSpray/9.2,207.48833901922316,2082,voter-auth-api,voter-auth-api,brute_force
2026-03-24T08:40:30.529988+00:00,10.167.235.101,/health,200,GET,Android WebView,102.44758471361703,11451,voter-auth-api,voter-auth-api,normal
2026-03-23T15:33:23.331916+00:00,10.68.171.49,/rti/login,200,POST,Android WebView,108.78551831174673,7495,rti-portal,rti-portal,normal
2026-03-25T07:31:33.236691+00:00,203.0.185.140,/aadhaar/auth/login,200,POST,CredentialSpray/5.1,210.93285201996557,1574,aadhaar-verify-service,aadhaar-verify-service,credential_stuffing
2026-03-23T15:37:40.567696+00:00,10.81.243.71,/municipal/tax/pay,200,POST,CitizenServiceApp/3.1,91.00605318776098,2226,municipal-portal,municipal-portal,normal
2026-03-23T18:33:42.340205+00:00,10.177.60.77,/auth/otp,200,GET,Android WebView,49.87066469955029,1476,voter-auth-api,voter-auth-api,normal
2026-03-23T14:13:17.954673+00:00,10.182.173.118,/health,200,GET,Mozilla/5.0,63.574073827363,7080,voter-auth-api,voter-auth-api,normal
2026-03-25T05:33:19.225748+00:00,45.33.74.84,/rti/search?q=1 UNION SELECT password FROM users,500,GET,SQLProbe/2.0,1019.6353368095769,4419,rti-portal,rti-portal,sql_injection
2026-03-25T04:25:02.785010+00:00,198.51.228.5,/municipal/dashboard,504,GET,FloodBot/4.7,1352.9341677518728,2320,municipal-portal,municipal-portal,ddos
2026-03-24T02:53:10.395075+00:00,10.150.233.125,/voter/profile,200,GET,GovPortalClient/2.0,152.63536904331187,12975,voter-auth-api,voter-auth-api,normal
2026-03-25T05:27:31.923301+00:00,45.33.219.106,/rti/search?q=1'; DROP TABLE voters;--,500,GET,SQLProbe/2.0,389.812598923408,11910,rti-portal,rti-portal,sql_injection
